store_name,address,nickname,content,cleaned_content,tokenized_words,sentiment,sentiment_score
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,Beingmode Mikaela,"#원더박스 처럼 화려하고 #키자니아 만큼 구성좋고#롯데월드 보다 애기데리고 가기 몸편한#상상나라 만큼 과학적이고 #플레이즈라운지 만큼 핫한#인천 #월미도 #영종도 #인천국제공항#배도 타고 #바다열차 #멀리서도 가볼만해#영유아소아초딩을 위한 #5층 단독건물 #테마파크#네이버예매 할인되서 #가격좋은 #곤충탐험대 #직업체험#외국인 가족들에게 추천해도 손색없을 듯 해요 #영문브로셔#엄마아빠 몸편해요 #엄빠같이 타도 재밌는 #과학적인 #안전한 #체험꺼리 #구경꺼리 #마술쇼 #있을꺼다있고 #재밌고 #깨끗 #쾌적 #주차도 편리지인 추천으로 기대없이 방문했는데, 냉난방도 잘되고 주말 인파 많은데 참 깨끗하고 쾌적하고 보호자가 몸이 편하니 같이 놀아도 기분도 좋아요~ 놀다보니 진짜 재미나요^^고마워요","원더박스 처럼 화려하고 키자니아 만큼 구성좋고롯데월드 보다 애기데리고 가기 몸편한상상나라 만큼 과학적이고 플레이즈라운지 만큼 핫한인천 월미도 영종도 인천국제공항배도 타고 바다열차 멀리서도 가볼만해영유아소아초딩을 위한 5층 단독건물 테마파크네이버예매 할인되서 가격좋은 곤충탐험대 직업체험외국인 가족들에게 추천해도 손색없을 듯 해요 영문브로셔엄마아빠 몸편해요 엄빠같이 타도 재밌는 과학적인 안전한 체험꺼리 구경꺼리 마술쇼 있을꺼다있고 재밌고 깨끗 쾌적 주차도 편리지인 추천으로 기대없이 방문했는데, 냉난방도 잘되고 주말 인파 많은데 참 깨끗하고 쾌적하고 보호자가 몸이 편하니 같이 놀아도 기분도 좋아요 놀다보니 진짜 재미나요고마워요","['더박스', '처럼', '화려하다', '키자니아', '만큼', '구성', '좋다', '롯데', '월드', '애기', '데리', '가기', '편하다', '상상나라', '만큼', '과학', '플레이', '라운지', '만큼', '인천', '월미도', '영종도', '인천', '국제공항', '타고', '바다열차', '멀리', '서도', '만해', '유아', '소아', '초딩', '단독', '건물', '테마', '파크', '네이버', '예매', '할인', '가격', '좋다', '곤충', '탐험대', '직업', '체험', '외국인', '가족', '추천', '손색', '없다', '브로', '엄마', '아빠', '편하다', '엄빠', '타도', '재밌다', '과학', '안전하다', '체험', '구경', '마술', '있다', '재밌다', '깨끗', '쾌적', '주차', '편리', '지인', '추천', '기대', '방문', '방도', '주말', '인파', '많다', '깨끗하다', '쾌적하다', '보호자', '편하다', '기분', '좋다', '진짜', '재미나', '고맙다']",Positive,0.9629336595535278
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,키키킥키키키킥,얼마전에 왔는데 또 방문했어요🩷💜❤️애들이 너무 좋아해요ㅋ오늘은 청백대결했는데 너~~~무 재밌었어요ㅋㅋ백팀이 이겨서 성인무료이용권까지💚👍12월에 또 와야할이유가 생겨버림...🩵👍청백대결 너무 재밌었는데 오늘이 마지막이라하셔서 아쉬워요ㅋㅋㅋ 12월에도 재밌는 이벤트 많겠죵?ㅎㅎ 아이도 재밌고 어른도 재밌었던 뽀로로파크 월미도점 진짜 최고🩵👍백팀 응원해주시는 직원분들 텐션 무슨일ㅋㅋㅋ진짜 너무 진심으로 응원해주셔가지구 힘도나고 너무들 귀여우셔서 웃겨가지고 진짜 행복 만땅충전하고 갑니다💜다음달에 또 올게여💜👍,얼마전에 왔는데 또 방문했어요애들이 너무 좋아해요ㅋ오늘은 청백대결했는데 너무 재밌었어요ㅋㅋ백팀이 이겨서 성인무료이용권까지12월에 또 와야할이유가 생겨버림...청백대결 너무 재밌었는데 오늘이 마지막이라하셔서 아쉬워요ㅋㅋㅋ 12월에도 재밌는 이벤트 많겠죵?ㅎㅎ 아이도 재밌고 어른도 재밌었던 뽀로로파크 월미도점 진짜 최고백팀 응원해주시는 직원분들 텐션 무슨일ㅋㅋㅋ진짜 너무 진심으로 응원해주셔가지구 힘도나고 너무들 귀여우셔서 웃겨가지고 진짜 행복 만땅충전하고 갑니다다음달에 또 올게여,"['얼마', '방문', '좋아하다', '오늘', '대결', '재밌다', '성인', '무료', '이용권', '야하다', '이유', '대결', '재밌다', '오늘이', '마지막', '아쉽다', '재밌다', '이벤트', '많겠죵', '아이', '재밌다', '어른', '재밌다', '뽀로로', '파크', '월미도', '진짜', '최고', '응원', '직원', '텐션', '진짜', '진심', '응원', '도나', '귀엽다', '진짜', '행복', '충전', '음달']",Positive,0.9692519307136536
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,lovegate,"아기들 뿐만 아니라 어른들도 동심으로 돌아가 함께 즐길수 있는 최고의 공연! 뽀로로  싱어롱쇼^^아이들이 뽀로로 친구들과 늘 행복할 수 있게 공연을 해주셔서 뽀롱언니, 루핑언니들 넘 감사합니다😍즐길거리, 먹거리 넘치는 뽀로로 월미도점 최고!!","아기들 뿐만 아니라 어른들도 동심으로 돌아가 함께 즐길수 있는 최고의 공연! 뽀로로 싱어롱쇼아이들이 뽀로로 친구들과 늘 행복할 수 있게 공연을 해주셔서 뽀롱언니, 루핑언니들 넘 감사합니다즐길거리, 먹거리 넘치는 뽀로로 월미도점 최고!!","['아기', '아니다', '어른', '동심', '있다', '최고', '공연', '뽀로로', '싱어', '쇼아', '뽀로로', '친구', '행복하다', '있다', '공연', '뽀롱언', '루핑', '언니', '먹거리', '넘치다', '뽀로로', '월미도', '최고']",Positive,0.9727265238761902
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,뾰로롱뀨우팅,24개월 아기가 진짜 너무너무 좋아해용🤗완전 아기 취향저격이에요~두번째 방문인데 올때마다 즐길거리도 풍부하고오리지널 싱어롱쇼 최곱니당👍👍종일권 추천해욥 진짜 하루가 어떻게 가는지 모르도록어른도 아기도 즐겁네용🫶🫶,24개월 아기가 진짜 너무너무 좋아해용완전 아기 취향저격이에요두번째 방문인데 올때마다 즐길거리도 풍부하고오리지널 싱어롱쇼 최곱니당종일권 추천해욥 진짜 하루가 어떻게 가는지 모르도록어른도 아기도 즐겁네용,"['개월', '아기', '진짜', '좋아하다', '완전', '아기', '취향', '저격', '두번째', '방문', '거리', '풍부하다', '싱어', '롱쇼', '곱다', '종일', '추천', '진짜', '하루', '어떻다', '어른', '아기', '즐겁다']",Positive,0.9747251868247986
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,대빵순,"19개월 아기 낮잠자고 이동하기 위해서 3시 이후 이용권 이용했는데~~2층 트램폴린, 3층 놀이기구, 4층 뽀로로 타운 5층 타요타운 등 다양하게 놀거리가 있더라구요. 물론 놀이기구 중 키 100센치 제한이 있는것들이 몇개 있어서 못탔지만, 그래도 다른건 부모와함께 이용할수 있었어요😊😊토욜 시간 알차게 보내고 왔답니다!!","19개월 아기 낮잠자고 이동하기 위해서 3시 이후 이용권 이용했는데2층 트램폴린, 3층 놀이기구, 4층 뽀로로 타운 5층 타요타운 등 다양하게 놀거리가 있더라구요. 물론 놀이기구 중 키 100센치 제한이 있는것들이 몇개 있어서 못탔지만, 그래도 다른건 부모와함께 이용할수 있었어요토욜 시간 알차게 보내고 왔답니다!!","['개월', '아기', '낮잠', '자고', '이동', '위해', '이후', '이용권', '이용', '트램폴린', '놀이기구', '뽀로로', '타운', '타요', '타운', '다양하다', '거리', '있다', '놀이기구', '센치', '제한', '있다', '몇개', '있다', '다르다', '부모', '이용', '있다', '토욜', '시간', '알차다']",Positive,0.9583263397216797
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,키키킥키키키킥,"진~~~~짜 재밌었어요😝 왜 이렇게 놀거리가 많은지 종일권 끊고 하루종일 놀았는데 힘이 안들었어요!!쇼쇼쇼 덕분에 어른들도 체험거리가 많아서 저번보다도 힘도 안들고 더 재밌었어요방문했던적중에 제일 재밌었던것같은😙..싱어송쇼,댄스파티, 보물찾기, 트리점등식, 매직쇼 등등등!!!!진짜 볼거리 놀거리 많은 뽀로로파크 월미도점 최곤거같아요👍크리스마스 분위기로 꾸며져있어서 중간중간 포토존도 많고 크리스마스분위기도 느낄수있어서 더 좋더라구요애들도 오늘 너무 재밌다고 하루종일 말하네요ㅋ5살인데도 뽀로로 월미도점은 너무 재밌데요ㅋㅋㅋ월미도점은 3층까지 엄청커서 큰 엉아들도 재밌게 놀수있을거같아요 최고최고 왕추천🩷👍특히 직원분들 다 친절하시고 짱좋아요🩷💜즐거운 추억 안고갑니다 감사합니다🩷👍","진짜 재밌었어요 왜 이렇게 놀거리가 많은지 종일권 끊고 하루종일 놀았는데 힘이 안들었어요!!쇼쇼쇼 덕분에 어른들도 체험거리가 많아서 저번보다도 힘도 안들고 더 재밌었어요방문했던적중에 제일 재밌었던것같은..싱어송쇼,댄스파티, 보물찾기, 트리점등식, 매직쇼 등등등!!!!진짜 볼거리 놀거리 많은 뽀로로파크 월미도점 최곤거같아요크리스마스 분위기로 꾸며져있어서 중간중간 포토존도 많고 크리스마스분위기도 느낄수있어서 더 좋더라구요애들도 오늘 너무 재밌다고 하루종일 말하네요ㅋ5살인데도 뽀로로 월미도점은 너무 재밌데요ㅋㅋㅋ월미도점은 3층까지 엄청커서 큰 엉아들도 재밌게 놀수있을거같아요 최고최고 왕추천특히 직원분들 다 친절하시고 짱좋아요즐거운 추억 안고갑니다 감사합니다","['진짜', '재밌다', '거리', '많다', '종일', '하루', '종일', '쇼쇼쇼', '덕분', '어른', '체험', '거리', '많다', '저번', '재밌다', '방문', '적중', '제일', '재밌다', '같다', '싱어', '송쇼', '댄스파티', '보물찾기', '트리', '점등', '매직', '등등', '진짜', '볼거리', '거리', '많다', '뽀로로', '파크', '월미도', '최곤거', '같다', '크리스마스', '분위기', '중간', '중간', '포토', '많다', '크리스마스', '분위기', '좋다', '오늘', '재밌다', '하루', '종일', '뽀로로', '월미도', '재밌다', '월미도', '커서', '아들', '재밌다', '같다', '최고', '최고', '추천', '직원', '친절하다', '좋다', '즐겁다', '추억', '안고']",Positive,0.969679057598114
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,멍뭉이9330,아이가 뽀로로파크 가고 싶다고 해서 갔습니다 공연도 너무 재밌고 진짜 애가 너무 좋아해요 연간권 하고 싶었는데 종료 되서 못했어요.ㅜㅜ아쉬움 진짜 만족스럽게 잘 놀다 갑니다!!간식도 종류도 많고 맛있어요,아이가 뽀로로파크 가고 싶다고 해서 갔습니다 공연도 너무 재밌고 진짜 애가 너무 좋아해요 연간권 하고 싶었는데 종료 되서 못했어요.ㅜㅜ아쉬움 진짜 만족스럽게 잘 놀다 갑니다!!간식도 종류도 많고 맛있어요,"['아이', '뽀로로', '파크', '공연', '재밌다', '진짜', '애가', '좋아하다', '연간', '종료', '아쉬움', '진짜', '만족', '간식', '종류', '많다', '맛있다']",Positive,0.9740083813667297
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,Nane95,"뽀로로파크 입장권 영수증이 없어서 음식 먹었던 영수증으로 리뷰를 쓰네요 ㅎㅎ 뽀로로파크 다산-제주에 이어 월미도점을 드디어 다녀왔어요!! 규모도 크다보니 엄두가 안났는데, 친구네 아이가 딸과도 친구여서 같이 가서 12시부터 폐장까지 놀았네요 ㅋㅋㅋㅋ 100cm 미만인 아가들도 보호자와 함께라면 탈수있는 어트랙션들이 있고, 하나씩만 즐겨도 시간이 훅 갔어요. 싱어롱쇼 두번에 운동회, 페이스페인팅, 페티와의 특별한 시간까지 아주 알찬 하루를 보냈어요 :) 뽀롱언니와 루핑언니를 비롯한 선생님들이 아이를 너무너무 예뻐해주시고 심지어 이름까지 기억해주셔서 대감동이었어요 ㅎㅎ 하고싶은 말이 너무 많을정도로 즐겁고 행복했어요. 거리가 좀 있긴해도 어린이집 견학도 빼고 놀고온게 전혀 아깝지않은 행복한 시간이었어요!","뽀로로파크 입장권 영수증이 없어서 음식 먹었던 영수증으로 리뷰를 쓰네요 ㅎㅎ 뽀로로파크 다산제주에 이어 월미도점을 드디어 다녀왔어요!! 규모도 크다보니 엄두가 안났는데, 친구네 아이가 딸과도 친구여서 같이 가서 12시부터 폐장까지 놀았네요 ㅋㅋㅋㅋ 100cm 미만인 아가들도 보호자와 함께라면 탈수있는 어트랙션들이 있고, 하나씩만 즐겨도 시간이 훅 갔어요. 싱어롱쇼 두번에 운동회, 페이스페인팅, 페티와의 특별한 시간까지 아주 알찬 하루를 보냈어요 뽀롱언니와 루핑언니를 비롯한 선생님들이 아이를 너무너무 예뻐해주시고 심지어 이름까지 기억해주셔서 대감동이었어요 ㅎㅎ 하고싶은 말이 너무 많을정도로 즐겁고 행복했어요. 거리가 좀 있긴해도 어린이집 견학도 빼고 놀고온게 전혀 아깝지않은 행복한 시간이었어요!","['뽀로로', '파크', '입장권', '영수증', '없다', '음식', '영수증', '리뷰', '뽀로로', '파크', '다산', '제주', '월미도', '규모', '엄두', '친구', '아이', '친구', '폐장', '미만', '아가', '보호자', '탈수', '있다', '트랙', '있다', '하나', '시간', '싱어', '롱쇼', '운동회', '페이', '스페인', '페티', '특별하다', '시간', '아주', '알차다', '하루', '뽀롱', '루핑', '비롯', '선생님', '아이', '예쁘다', '해주시', '심지어', '이름', '기억', '감동', '많다', '정도', '즐겁다', '행복하다', '거리', '있다', '해도', '어린이집', '견학', '고온', '전혀', '아깝다', '행복하다', '시간']",Positive,0.9695920348167419
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,iryne,아이와 함께 뽀로로테마파크에 왔어요♡보다 많은 이벤트와 볼거리♡아이가 너무 좋아해요♡요즘같이 쌀쌀해서 야외에서 놀기 힘든 날씨에 더 좋은 거 같아요♡,아이와 함께 뽀로로테마파크에 왔어요보다 많은 이벤트와 볼거리아이가 너무 좋아해요요즘같이 쌀쌀해서 야외에서 놀기 힘든 날씨에 더 좋은 거 같아요,"['아이', '뽀로로', '테마', '파크', '어요', '많다', '이벤트', '볼거리', '아이', '좋아하다', '요즘', '쌀쌀하다', '야외', '힘드다', '날씨', '좋다', '같다']",Positive,0.9742631912231445
뽀로로앤타요테마파크 월미도점,인천 중구 월미로 222,Nnnnnnani,"인천 할머니댁 온 김에 뽀로로테마파크 오픈런했어요! 평일이라서 조용히 즐길줄 알았더니 오픈런하시는 분들도 생각보다 꽤 있었고, 어린이집에서 단체로 와서 북적북적했어요🤣 그치만 이 정도면 양호했던거 같습니다! 먼저 4층가서 놀다가 공연도 보고 물놀이하고 점심먹었더니 오래 기다리지 않고 다 할수 있었어요😊 물놀이하는 시간 30분인데 꽤 추워서 이정도만 해도 될거 같아요ㅎㅎ공연도 젤 앞자리에 앉아서 봤더니 서서 춤출수 있는 공간도 있고 좋았고, 공연도 재밌었어요! 공연장에 에어컨이 빵빵해서 은근 쌀쌀했어요. 뽀로로, 루피와 사진찍는 시간도 좋았고 귀엽게 잘 찍어주셨어요👍 밥은 진짜 맛이 없었는데 그냥 대충 끼니 떼우기로 먹을 정도입니다...😱밥은 아쉬웠어요. 그치만 아이가 넘 좋아해서 담에 또 가고싶어요👍💕","인천 할머니댁 온 김에 뽀로로테마파크 오픈런했어요! 평일이라서 조용히 즐길줄 알았더니 오픈런하시는 분들도 생각보다 꽤 있었고, 어린이집에서 단체로 와서 북적북적했어요 그치만 이 정도면 양호했던거 같습니다! 먼저 4층가서 놀다가 공연도 보고 물놀이하고 점심먹었더니 오래 기다리지 않고 다 할수 있었어요 물놀이하는 시간 30분인데 꽤 추워서 이정도만 해도 될거 같아요ㅎㅎ공연도 젤 앞자리에 앉아서 봤더니 서서 춤출수 있는 공간도 있고 좋았고, 공연도 재밌었어요! 공연장에 에어컨이 빵빵해서 은근 쌀쌀했어요. 뽀로로, 루피와 사진찍는 시간도 좋았고 귀엽게 잘 찍어주셨어요 밥은 진짜 맛이 없었는데 그냥 대충 끼니 떼우기로 먹을 정도입니다...밥은 아쉬웠어요. 그치만 아이가 넘 좋아해서 담에 또 가고싶어요","['인천', '할머니', '뽀로로', '테마', '파크', '오픈', '평일', '조용하다', '오픈', '생각', '있다', '어린이집', '단체', '북적', '북적', '정도', '양호', '같다', '먼저', '공연', '보고', '물놀이', '점심', '있다', '물놀이', '시간', '춥다', '정도', '해도', '같다', '공연', '서서', '있다', '공간', '있다', '좋다', '공연', '재밌다', '공연장', '에어컨', '빵빵', '은근', '쌀쌀하다', '뽀로로', '루피', '사진', '시간', '좋다', '귀엽다', '진짜', '없다', '그냥', '대충', '끼니', '정도', '이다', '아쉽다', '아이', '좋아하다']",Positive,0.9667601585388184
